client_id,snapshot_id,seq_num,server_timestamp,recv_time,latency_ms
1,282,2,1765281421460,1765281421460,0
1,283,3,1765281421494,1765281421494,0
1,284,4,1765281421528,1765281421528,0
1,285,5,1765281421562,1765281421562,0
1,286,6,1765281421596,1765281421596,0
1,287,7,1765281421631,1765281421631,0
1,288,8,1765281421665,1765281421665,0
1,289,9,1765281421699,1765281421699,0
1,290,10,1765281421733,1765281421733,0
1,291,11,1765281421766,1765281421766,0
1,292,12,1765281421800,1765281421800,0
1,293,13,1765281421835,1765281421835,0
1,294,14,1765281421869,1765281421869,0
1,295,15,1765281421904,1765281421904,0
1,296,16,1765281421938,1765281421938,0
1,297,17,1765281421972,1765281421972,0
1,298,18,1765281422006,1765281422006,0
1,299,19,1765281422040,1765281422040,0
1,300,20,1765281422074,1765281422074,0
1,301,21,1765281422109,1765281422109,0
1,302,22,1765281422143,1765281422143,0
1,303,23,1765281422177,1765281422177,0
1,304,24,1765281422211,1765281422211,0
1,305,25,1765281422245,1765281422245,0
1,306,26,1765281422279,1765281422279,0
1,307,27,1765281422313,1765281422313,0
1,308,28,1765281422347,1765281422347,0
1,309,29,1765281422381,1765281422381,0
1,310,30,1765281422415,1765281422415,0
1,311,31,1765281422449,1765281422449,0
1,312,32,1765281422483,1765281422483,0
1,313,33,1765281422517,1765281422517,0
1,314,34,1765281422551,1765281422551,0
1,315,35,1765281422586,1765281422586,0
1,316,36,1765281422621,1765281422621,0
1,317,37,1765281422655,1765281422655,0
1,318,38,1765281422689,1765281422689,0
1,319,39,1765281422723,1765281422723,0
1,320,40,1765281422757,1765281422757,0
1,321,41,1765281422790,1765281422790,0
1,322,42,1765281422824,1765281422824,0
1,323,43,1765281422858,1765281422858,0
1,324,44,1765281422892,1765281422892,0
1,325,45,1765281422926,1765281422926,0
1,326,46,1765281422961,1765281422961,0
1,327,47,1765281422995,1765281422995,0
1,328,48,1765281423029,1765281423029,0
1,329,49,1765281423063,1765281423063,0
1,330,50,1765281423097,1765281423097,0
1,331,51,1765281423131,1765281423131,0
1,332,52,1765281423166,1765281423166,0
1,333,53,1765281423200,1765281423200,0
1,334,54,1765281423234,1765281423234,0
1,335,55,1765281423268,1765281423268,0
1,336,56,1765281423302,1765281423302,0
1,337,57,1765281423336,1765281423336,0
1,338,58,1765281423370,1765281423370,0
1,339,59,1765281423405,1765281423405,0
1,340,60,1765281423439,1765281423439,0
1,341,61,1765281423474,1765281423474,0
1,342,62,1765281423509,1765281423509,0
1,343,63,1765281423542,1765281423542,0
1,344,64,1765281423577,1765281423577,0
1,345,65,1765281423612,1765281423612,0
1,346,66,1765281423646,1765281423646,0
1,347,67,1765281423680,1765281423680,0
1,348,68,1765281423714,1765281423714,0
1,349,69,1765281423748,1765281423748,0
1,350,70,1765281423782,1765281423782,0
1,351,71,1765281423817,1765281423817,0
1,352,72,1765281423851,1765281423851,0
1,353,73,1765281423885,1765281423885,0
1,354,74,1765281423919,1765281423919,0
1,355,75,1765281423953,1765281423953,0
1,356,76,1765281423987,1765281423987,0
1,357,77,1765281424021,1765281424021,0
1,358,78,1765281424055,1765281424055,0
1,359,79,1765281424089,1765281424089,0
1,360,80,1765281424124,1765281424124,0
1,361,81,1765281424158,1765281424158,0
1,362,82,1765281424192,1765281424192,0
1,363,83,1765281424227,1765281424227,0
1,364,84,1765281424261,1765281424262,1
1,365,85,1765281424296,1765281424296,0
1,366,86,1765281424330,1765281424330,0
1,367,87,1765281424364,1765281424364,0
1,368,88,1765281424398,1765281424398,0
1,369,89,1765281424432,1765281424432,0
1,370,90,1765281424466,1765281424466,0
1,371,91,1765281424500,1765281424500,0
1,372,92,1765281424534,1765281424534,0
1,373,93,1765281424568,1765281424568,0
1,374,94,1765281424602,1765281424602,0
1,375,95,1765281424636,1765281424636,0
1,376,96,1765281424670,1765281424670,0
1,377,97,1765281424704,1765281424704,0
1,378,98,1765281424738,1765281424738,0
1,379,99,1765281424772,1765281424772,0
1,380,100,1765281424806,1765281424806,0
1,381,101,1765281424841,1765281424841,0
1,382,102,1765281424875,1765281424875,0
1,383,103,1765281424909,1765281424910,1
1,384,104,1765281424944,1765281424944,0
1,385,105,1765281424978,1765281424978,0
1,386,106,1765281425012,1765281425012,0
1,387,107,1765281425045,1765281425046,1
1,388,108,1765281425080,1765281425081,1
1,389,109,1765281425114,1765281425114,0
1,390,110,1765281425149,1765281425149,0
1,391,111,1765281425183,1765281425183,0
1,392,112,1765281425217,1765281425217,0
1,393,113,1765281425252,1765281425252,0
1,394,114,1765281425291,1765281425291,0
1,395,115,1765281425337,1765281425337,0
1,396,116,1765281425371,1765281425371,0
1,397,117,1765281425405,1765281425405,0
1,398,118,1765281425439,1765281425439,0
1,399,119,1765281425474,1765281425474,0
1,400,120,1765281425508,1765281425508,0
1,401,121,1765281425542,1765281425542,0
1,402,122,1765281425577,1765281425577,0
1,403,123,1765281425611,1765281425611,0
1,404,124,1765281425645,1765281425645,0
1,405,125,1765281425679,1765281425679,0
1,406,126,1765281425713,1765281425713,0
1,407,127,1765281425747,1765281425747,0
1,408,128,1765281425781,1765281425781,0
1,409,129,1765281425815,1765281425815,0
1,410,130,1765281425850,1765281425850,0
1,411,131,1765281425884,1765281425884,0
1,412,132,1765281425918,1765281425918,0
1,413,133,1765281425952,1765281425952,0
1,414,134,1765281425987,1765281425987,0
1,415,135,1765281426021,1765281426021,0
1,416,136,1765281426055,1765281426056,1
1,417,137,1765281426090,1765281426090,0
1,418,138,1765281426125,1765281426125,0
1,419,139,1765281426159,1765281426159,0
