timestamp,msg_type,src_addr,payload_size
1765532865.0033088,1,"('127.0.0.1', 51070)",24
1765532865.0049345,4,"('127.0.0.1', 51070)",12
1765532865.0996852,1,"('127.0.0.1', 41634)",24
1765532865.1014926,4,"('127.0.0.1', 41634)",12
1765532865.308122,4,"('127.0.0.1', 51070)",12
1765532865.426115,1,"('127.0.0.1', 50695)",24
1765532865.4279048,4,"('127.0.0.1', 50695)",12
1765532865.5849009,4,"('127.0.0.1', 41634)",12
1765532865.627914,4,"('127.0.0.1', 51070)",12
1765532865.859068,4,"('127.0.0.1', 50695)",12
1765532865.9057786,4,"('127.0.0.1', 51070)",12
1765532865.9918022,4,"('127.0.0.1', 41634)",12
1765532866.1842237,4,"('127.0.0.1', 50695)",12
1765532866.359065,4,"('127.0.0.1', 51070)",12
1765532866.3974078,4,"('127.0.0.1', 50695)",12
1765532866.4118218,4,"('127.0.0.1', 41634)",12
1765532866.6713998,4,"('127.0.0.1', 50695)",12
1765532866.7373266,4,"('127.0.0.1', 41634)",12
1765532866.880422,4,"('127.0.0.1', 51070)",12
1765532866.9508708,4,"('127.0.0.1', 50695)",12
1765532867.2227368,4,"('127.0.0.1', 51070)",12
1765532867.290705,4,"('127.0.0.1', 50695)",12
1765532867.5080116,4,"('127.0.0.1', 51070)",12
1765532867.6293855,4,"('127.0.0.1', 41634)",12
1765532867.6855183,4,"('127.0.0.1', 50695)",12
1765532867.8819697,4,"('127.0.0.1', 41634)",12
1765532867.9324481,4,"('127.0.0.1', 50695)",12
1765532867.967305,4,"('127.0.0.1', 51070)",12
