timestamp,player_id,row,col
1765519119.0305755,1,2,1
1765519119.426462,1,1,4
1765519119.5348904,2,4,1
1765519119.6651673,1,2,2
1765519119.8971622,2,4,4
1765519120.0339842,2,0,2
1765519120.0423033,3,2,4
1765519120.1623998,1,2,0
1765519120.3039954,3,0,0
1765519120.4173477,1,1,0
1765519120.5078704,2,4,2
1765519120.7182996,3,0,3
1765519120.8281631,1,3,1
1765519120.9518566,2,0,1
1765519121.2178748,3,4,3
1765519121.2858746,1,3,0
1765519121.373222,2,4,0
1765519121.5783887,3,0,4
1765519121.6497066,1,1,2
1765519121.7171793,2,3,4
1765519121.9928796,2,1,1
1765519122.060722,3,2,3
1765519122.1339126,1,3,2
1765519122.2371407,2,1,3
1765519122.305378,3,3,3
