timestamp,msg_type,dest_addr,snapshot_id,payload_size
1765532820.7066138,INIT_ACK,"('127.0.0.1', 33390)",0,24
1765532821.0960517,INIT_ACK,"('127.0.0.1', 43569)",0,24
1765532821.5357492,INIT_ACK,"('127.0.0.1', 48742)",0,24
1765532821.6560705,SNAPSHOT,"('127.0.0.1', 33390)",80,40
1765532821.6561484,SNAPSHOT,"('127.0.0.1', 43569)",80,40
1765532821.6562095,SNAPSHOT,"('127.0.0.1', 48742)",80,40
1765532822.667718,SNAPSHOT,"('127.0.0.1', 33390)",100,40
1765532822.66779,SNAPSHOT,"('127.0.0.1', 43569)",100,40
1765532822.6678574,SNAPSHOT,"('127.0.0.1', 48742)",100,40
1765532823.680244,SNAPSHOT,"('127.0.0.1', 33390)",120,40
1765532823.6803381,SNAPSHOT,"('127.0.0.1', 43569)",120,40
1765532823.6804328,SNAPSHOT,"('127.0.0.1', 48742)",120,40
1765532823.9666305,GAME_OVER,"('127.0.0.1', 33390)",0,10
1765532823.9983878,GAME_OVER,"('127.0.0.1', 43569)",0,10
1765532824.0299335,GAME_OVER,"('127.0.0.1', 48742)",0,10
