client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
2,106,287517553,1765519076209,1765519076210,1,0,0.0,5.0,10.88
2,107,287517606,1765519076262,1765519076262,0,1,0.0,2.4,10.88
2,108,287517661,1765519076317,1765519076317,0,0,0.0,1.1,10.88
2,109,287517716,1765519076371,1765519076372,1,1,0.4,0.0,10.88
2,110,287517770,1765519076426,1765519076426,0,1,0.4,0.0,10.88
2,111,287517824,1765519076480,1765519076480,0,0,0.4,0.0,10.88
2,112,287517876,1765519076532,1765519076532,0,0,0.0,0.0,10.88
2,113,287517931,1765519076586,1765519076587,1,1,0.0,0.0,10.88
2,114,287517985,1765519076641,1765519076642,1,0,0.4,0.0,10.88
2,115,287518039,1765519076695,1765519076696,1,0,0.0,0.0,10.88
2,116,287518094,1765519076750,1765519076750,0,1,0.4,0.0,10.88
2,117,287518145,1765519076800,1765519076801,1,1,0.4,2.5,10.88
2,118,287518196,1765519076852,1765519076852,0,1,0.0,3.7,10.88
2,119,287518249,1765519076905,1765519076905,0,0,0.4,1.2,10.88
2,120,287518299,1765519076955,1765519076955,0,0,0.0,4.9,10.88
2,121,287518350,1765519077005,1765519077006,1,1,0.0,7.4,10.88
2,122,287518400,1765519077056,1765519077057,1,0,0.4,0.0,10.88
2,123,287518455,1765519077111,1765519077111,0,1,0.4,0.0,10.88
2,124,287518509,1765519077165,1765519077165,0,0,0.0,1.1,10.88
2,125,287518564,1765519077220,1765519077220,0,0,0.0,0.0,10.88
2,126,287518616,1765519077272,1765519077272,0,0,0.4,0.0,10.88
2,127,287518670,1765519077326,1765519077326,0,0,0.0,0.0,10.88
2,128,287518725,1765519077381,1765519077381,0,0,0.4,1.1,10.88
2,129,287518779,1765519077435,1765519077435,0,0,0.0,1.1,10.88
2,130,287518834,1765519077489,1765519077490,1,1,0.0,0.0,10.88
2,131,287518886,1765519077541,1765519077542,1,0,0.4,0.0,10.88
2,132,287518937,1765519077593,1765519077593,0,1,0.4,0.0,10.88
