timestamp,player_id,row,col
1765532908.8749042,1,2,3
1765532908.9765446,1,2,3
1765532909.2712636,2,3,3
1765532909.3124583,1,3,3
1765532909.3718119,2,3,3
1765532909.4306211,1,3,3
1765532909.4727144,2,3,3
1765532909.6542408,2,4,1
1765532909.6930528,1,0,0
1765532909.7752907,2,4,1
1765532909.7895124,3,2,0
1765532909.834244,1,0,0
1765532909.875843,2,4,1
1765532909.9404707,3,2,0
1765532910.0046735,1,1,4
1765532910.0643873,2,2,1
1765532910.1276522,3,1,4
1765532910.1383188,1,1,4
1765532910.1796532,2,2,1
1765532910.2808485,2,2,1
1765532910.3740396,2,4,3
1765532910.4454439,1,4,2
1765532910.4832163,2,4,3
1765532910.5669246,3,0,4
1765532910.5844843,2,4,3
1765532910.5948734,1,4,2
1765532910.6951962,3,0,4
1765532910.703359,2,3,0
1765532910.8374784,2,3,0
1765532910.916793,1,3,2
1765532910.9382327,2,3,0
1765532910.95236,2,3,4
1765532911.0411625,3,3,1
1765532911.0501513,1,3,2
1765532911.09024,2,3,4
1765532911.1484296,3,3,1
1765532911.1553695,1,1,2
1765532911.191432,2,3,4
1765532911.2927778,2,0,3
1765532911.3020413,1,1,2
1765532911.393923,2,0,3
1765532911.4953318,2,0,3
1765532911.5058603,1,1,0
1765532911.513422,3,2,2
1765532911.6529295,3,2,2
1765532911.6556523,1,1,0
1765532911.755487,2,4,4
1765532911.8889787,1,0,2
1765532911.9002993,2,4,4
1765532911.9233608,3,2,4
1765532912.0119245,1,0,2
1765532912.0567594,3,2,4
1765532912.157401,3,2,4
1765532912.1844673,2,1,1
1765532912.2641268,3,4,0
1765532912.3054008,2,1,1
1765532912.3888128,1,1,1
1765532912.406213,2,1,1
1765532912.4089315,3,4,0
1765532912.4796138,3,0,1
1765532912.6104727,3,0,1
1765532912.6515985,2,0,1
1765532912.7120092,3,0,1
1765532912.77304,1,1,3
1765532912.874906,1,1,3
1765532912.906943,2,1,3
1765532912.9199746,3,1,3
